,mean_novasar,median_novasar,count_novasar,polygon_id,filename_novasar,local_incidence_angle,polarization,date_novasar,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2
0,-8.999235153198242,-8.755424499511719,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HH_N1_25520_scd_27_D_L_20210807T124636-db,21.270702362060547,HH,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
1,-17.795270919799805,-17.24396514892578,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HV_N1_25520_scd_27_D_L_20210807T124636-db,21.270702362060547,HV,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
2,-10.889772415161133,-10.532943725585938,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_VV_N1_25520_scd_27_D_L_20210807T124636-db,21.270702362060547,VV,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
3,-8.999235153198242,8.488540649414062,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HH_N1_25520_scd_27_D_L_20210807T124636-db,21.270702362060547,CRHH,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
4,-8.999235153198242,6.711021423339844,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HH_N1_25520_scd_27_D_L_20210807T124636-db,21.270702362060547,CRVV,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
5,0.6545321345329285,0.4935046434402466,1841.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_25520_scd_27_210807_124636_VV_HH_HV_D_L-CEOS-ARD_NRB_v5.5_Gamma0_N1_25520_scd_27_D_L_20210807T124636-RVI,21.270702362060547,RVI,20210807,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
8,-8.912781715393066,-8.69832992553711,1834.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_34338_scd_27_220601_124026_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HH_N1_34338_scd_27_D_L_20220601T124026_modified-db,16.885942459106445,HH,20220601,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
9,-22.902101516723633,-22.243507385253906,1834.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_34338_scd_27_220601_124026_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HV_N1_34338_scd_27_D_L_20220601T124026_modified-db,16.885942459106445,HV,20220601,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
10,-7.1823344230651855,-7.202045440673828,1834.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_34338_scd_27_220601_124026_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_VV_N1_34338_scd_27_D_L_20220601T124026_modified-db,16.885942459106445,VV,20220601,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
11,-8.912781715393066,13.545177459716797,1834.0,0,/run/media/tom/SSDThomas/scratch/2024-05-s-band-ndvi/data novasar boort/CEOS-ARD_NRB_v5.5_NovaSAR_01_34338_scd_27_220601_124026_VV_HH_HV_D_L/Measurement-CEOS-ARD_NRB_v5.5_Gamma0_HH_N1_34338_scd_27_D_L_20220601T124026_modified-db,16.885942459106445,CRHH,20220601,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
