,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2
0,-13.27125072479248,-13.1702880859375,9127.0,0,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.8099365234375,20210806,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
1,-18.679851531982422,-18.479534149169922,9127.0,0,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.8099365234375,20210806,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
2,-13.27125072479248,5.309246063232422,9127.0,0,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,CR,36.8099365234375,20210806,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
3,0.9759536981582642,0.9071363806724548,9127.0,0,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB-RVI,RVI,36.8099365234375,20210806,20210808,0.9077606,0.9154518842697144,7389.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
6,-11.448328971862793,-11.353804588317871,9116.0,0,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VV,36.80277633666992,20220602,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
7,-20.600099563598633,-20.213184356689453,9109.0,0,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,VH,36.80277633666992,20220602,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
8,-11.448328971862793,8.859379768371582,9116.0,0,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB,CR,36.80277633666992,20220602,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
9,0.5108687281608582,0.4500378370285034,9116.0,0,Subset_S1A_IW_GRDH_1SDV_20220602T194106_20220602T194131_043488_05314A_3B6B_Orb_NR_Cal_TC_dB-RVI,RVI,36.80277633666992,20220602,20220604,0.18459482,0.1815718114376068,7389.0,S2A_MSIL2A_20220604T002101_N0400_R116_T54HYF_20220604T030510.SAFE_NDVI,20220604
10,-13.741101264953613,-13.658196449279785,8561.0,1,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VV,36.82695388793945,20210806,20210808,0.9263902,0.9275034070014954,6928.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
11,-20.047914505004883,-19.731643676757812,8558.0,1,Subset_S1A_IW_GRDH_1SDV_20210806T194104_20210806T194129_039113_049D9A_1D7A_Orb_NR_Cal_TC_dB,VH,36.82695388793945,20210806,20210808,0.9263902,0.9275034070014954,6928.0,S2A_MSIL2A_20210808T002101_N0500_R116_T54HYF_20230116T191334.SAFE_NDVI,20210808
