,mean_csg,median_csg,count_csg,polygon_id,filename_csg,polarization,local_incidence_angle,date_csg,s2_date,mean_s2,median_s2,count_s2,filename_s2,mndwi_mean,date_s2,geometry,area_ha
1,-10.209680557250977,-10.204176902770996,996.0,0,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.92832003934438,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
2,-17.502166748046875,-17.504878997802734,996.0,0,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.92832003934438,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
3,0.7113780975341797,0.6354589462280273,996.0,0,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.92832003934438,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
4,-10.209680557250977,7.300702095031738,996.0,0,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.92832003934438,20230806,20230808,0.79091847,0.784023642539978,141.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5410313,20230808,"POLYGON ((105.69147392986265 10.50589555440936, 105.69138882692125 10.50354914473925, 105.6910960157 10.5035404134, 105.6907865764 10.5059445183, 105.69147392986265 10.50589555440936))",1.4058160948458447
6,-9.825767517089844,-9.801847457885742,3752.0,1,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.93307564655812,20230806,20230808,0.8782468,0.8976762294769287,525.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5817614,20230808,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
7,-18.79635238647461,-18.742835998535156,3752.0,1,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.93307564655812,20230806,20230808,0.8782468,0.8976762294769287,525.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5817614,20230808,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
8,0.5377064943313599,0.4440067410469055,3752.0,1,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,RVI,44.93307564655812,20230806,20230808,0.8782468,0.8976762294769287,525.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5817614,20230808,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
9,-9.825767517089844,8.940988540649414,3752.0,1,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,CR,44.93307564655812,20230806,20230808,0.8782468,0.8976762294769287,525.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.5817614,20230808,"POLYGON ((105.6905009402 10.5024454746, 105.6909293945 10.5028501259, 105.6944522413 10.5031119591, 105.6944522413 10.5024454746, 105.6934763175 10.5018742021, 105.6907151674 10.5015647629, 105.6905009402 10.5024454746))",5.264935985266492
11,-13.001571655273438,-12.975210189819336,2317.0,2,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HH,44.971415139093395,20230806,20230808,0.8621592,0.8698089122772217,326.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.55854845,20230808,"POLYGON ((105.69796938299756 10.50126063484782, 105.6980226941 10.4998985516, 105.7000697537 10.4994939002, 105.69994930517663 10.500844109432625, 105.69796938299756 10.50126063484782))",3.2609542183376243
12,-20.33050537109375,-20.308589935302734,2317.0,2,Subset_CSG_SSAR2_DGM_B_0101_STR_014_HH-HV-LIA_RA_R_20230806225718_20230806225725_1_F_11N_Z48_N00.h5_ML_TC_dB,HV,44.971415139093395,20230806,20230808,0.8621592,0.8698089122772217,326.0,S2A_MSIL2A_20230808T031541_N0509_R118_T48PWS_20230808T073452.SAFE_NDVI,-0.55854845,20230808,"POLYGON ((105.69796938299756 10.50126063484782, 105.6980226941 10.4998985516, 105.7000697537 10.4994939002, 105.69994930517663 10.500844109432625, 105.69796938299756 10.50126063484782))",3.2609542183376243
